GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EstimationTool,com.example.estimationtool.toolbox.timeCalc,TimeCalculator,324,18,24,0,77,7,22,1,10,1
EstimationTool,com.example.estimationtool.toolbox.rowMappers,TimeEntryRowMapper,34,0,2,0,11,0,3,0,2,0
EstimationTool,com.example.estimationtool.toolbox.rowMappers,SubProjectRowMapper,0,41,1,1,0,13,1,2,0,2
EstimationTool,com.example.estimationtool.toolbox.rowMappers,UserRowMapper,0,26,0,0,0,8,0,2,0,2
EstimationTool,com.example.estimationtool.toolbox.rowMappers,SubTaskRowMapper,0,41,1,1,0,13,1,2,0,2
EstimationTool,com.example.estimationtool.toolbox.rowMappers,TaskRowMapper,0,41,1,1,0,13,1,2,0,2
EstimationTool,com.example.estimationtool.toolbox.rowMappers,ProjectRowMapper,0,38,1,1,0,12,1,2,0,2
EstimationTool,com.example.estimationtool.toolbox.controllerAdvice,GlobalExceptionHandler,8,13,0,0,2,3,1,2,1,2
EstimationTool,com.example.estimationtool.toolbox.controllerAdvice,UserFriendlyException,0,10,0,0,0,4,0,2,0,2
EstimationTool,com.example.estimationtool.repository,SubProjectRepository,26,203,0,0,4,39,2,8,2,8
EstimationTool,com.example.estimationtool.repository,TaskRepository,10,209,0,0,2,40,1,9,1,9
EstimationTool,com.example.estimationtool.repository,ProjectRepository,0,198,0,0,0,39,0,9,0,9
EstimationTool,com.example.estimationtool.repository,TimeEntryRepository,197,6,0,0,35,3,9,1,9,1
EstimationTool,com.example.estimationtool.repository,UserRepository,2,240,1,1,1,44,1,12,0,12
EstimationTool,com.example.estimationtool.repository,SubTaskRepository,10,222,0,0,2,42,1,9,1,9
EstimationTool,com.example.estimationtool.model.enums,Role,0,21,0,0,0,4,0,1,0,1
EstimationTool,com.example.estimationtool.model.enums,Status,0,21,0,0,0,4,0,1,0,1
EstimationTool,com.example.estimationtool,EstimationToolApplication,5,3,0,0,2,1,1,1,1,1
EstimationTool,com.example.estimationtool.toolbox.dto,UserWithProjectsDTO,0,9,0,0,0,1,0,1,0,1
EstimationTool,com.example.estimationtool.toolbox.dto,SubProjectWithUsersDTO,9,0,0,0,1,0,1,0,1,0
